sweep,ts_utc,symbol,buy,sell,network,status,skew_sec,best_ask_buy,best_bid_sell,naive_spread_bps,opt_volume,opt_turnover,vwap_buy,vwap_sell,slippage_buy_bps,slippage_sell_bps,gross,fee_buy,fee_sell,withdrawal,net,net_bps,complete,feasible,transfer_time_sec,latency_buy_ms,latency_sell_ms,rel_volume,rel_turnover,rel_gross,rel_fee_buy,rel_fee_sell,rel_withdrawal,rel_net,rel_net_bps
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,binance,bybit,BTC,ok,0.2468,80140.0,80173.3,4.1552,0.0001,8.014,80140.00000000001,80173.3,0.0,0.0,0.00333,0.008014,0.008017,1.603466,-1.616167,-2016.68,1,1,600.0,299.8,242.1,0.18932,15172.1048,6.182706,15.172105,15.178288,1.603453,-25.771139,-16.9859
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,binance,okx,BTC,ok,0.2468,80140.0,80163.4,2.9199,0.0001,8.014,80140.00000000001,80163.4,0.0,0.0,0.00234,0.008014,0.008016,1.603268,-1.616958,-2017.667,1,1,,299.8,345.8,0.57771,46297.6794,9.438232,46.297679,46.307118,1.603127,-84.769692,-18.3097
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,binance,kraken,BTC,ok,0.2468,80140.0,80189.7,6.2016,0.0001,8.014,80140.00000000001,80189.7,0.0,0.0,0.00497,0.008014,0.064152,1.603794,-1.67099,-2085.0883,1,1,1800.0,299.8,96.8,0.3,24042.0,13.7524,24.042,192.446019,1.603717,-204.339336,-84.9927
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,bybit,binance,BTC,ok,0.2468,80173.4,80139.99,-4.1672,0.00027,21.6468,80173.4,80139.99,0.0,0.0,-0.009021,0.021647,0.021638,2.8049,-2.857205,-1319.9192,1,1,600.0,242.1,299.8,0.49709,39853.507,-16.719399,39.853507,39.836788,2.8049,-99.214593,-24.8948
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,bybit,okx,BTC,ok,0.2468,80173.4,80163.4,-1.2473,0.00027,21.6468,80173.4,80163.4,0.0,0.0,-0.0027,0.021647,0.021644,2.805719,-2.85171,-1317.3807,1,1,,242.1,345.8,0.472647,37893.7455,-7.858059,37.893745,37.885887,2.805489,-86.443181,-22.812
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,bybit,kraken,BTC,ok,0.2468,80173.4,80189.7,2.0331,0.00027,21.6468,80173.4,80189.7,0.0,0.0,0.004401,0.021647,0.17321,2.806639,-2.997095,-1384.543,1,1,1800.0,242.1,96.8,0.349,27980.5166,3.9523,27.980517,223.875751,2.806465,-250.710433,-89.6018
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,okx,binance,BTC,ok,0.2468,80163.5,80139.99,-2.9328,0.0001,8.0164,80163.5,80139.98999999999,0.0,0.0,-0.002351,0.008016,0.008014,1.2021,-1.220481,-1522.4899,1,1,600.0,345.8,299.8,0.28676,22987.9763,-7.03272,22.987976,22.980944,1.2021,-54.203739,-23.5792
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,okx,bybit,BTC,ok,0.2468,80163.5,80173.3,1.2225,9.5e-05,7.6155,80163.5,80173.3,0.0,0.0,0.000931,0.007616,0.007616,1.2026,-1.2169,-1597.9191,1,1,600.0,345.8,242.1,0.178689,14324.3357,1.713552,14.324336,14.326049,1.202596,-28.139429,-19.6445
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,okx,kraken,BTC,ok,0.2468,80163.5,80189.7,3.2683,9.5e-05,7.6155,80163.5,80189.7,0.0,0.0,0.002489,0.007616,0.060944,1.202846,-1.268916,-1666.2212,1,1,1800.0,345.8,96.8,0.175,14028.6125,4.5649,14.028612,112.265419,1.202844,-122.931975,-87.6295
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,kraken,binance,BTC,ok,0.2468,80197.0,80139.99,-7.1087,0.00022,17.6433,80197.0,80139.99000000002,0.0,-0.0,-0.012542,0.141147,0.017631,1.2021,-1.37342,-778.4351,1,1,600.0,96.8,299.8,0.134,10746.4358,-7.67714,85.971486,10.738759,1.2021,-105.589485,-98.2554
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,kraken,bybit,BTC,ok,0.2468,80197.0,80173.3,-2.9552,0.000218,17.4829,80197.0,80173.3,0.0,0.0,-0.005167,0.139864,0.017478,1.2026,-1.365107,-780.8223,1,1,600.0,96.8,242.1,0.134,10746.4358,-3.2136,85.971486,10.743222,1.2026,-101.130908,-94.1065
1,2026-09-18T14:03:29.867+00:00,BTC/USDT,kraken,okx,BTC,ok,0.2468,80197.0,80163.4,-4.1897,0.000218,17.4829,80197.0,80163.4,0.0,0.0,-0.007325,0.139864,0.017476,1.202451,-1.367115,-781.9706,1,1,,96.8,345.8,0.134,10746.4358,-4.573716,85.971486,10.741862,1.202447,-102.489511,-95.3707
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,binance,bybit,ARBITRUM,ok,0.2802,2558.1,2557.82,-1.0946,0.002,5.1162,2558.1,2557.82,0.0,0.0,-0.00056,0.005116,0.005116,0.051156,-0.061948,-121.0825,1,1,30.0,294.9,248.3,1.5552,3978.3571,-0.449914,3.978357,3.977907,0.051156,-8.457334,-21.2584
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,binance,okx,ARBITRUM,ok,0.2802,2558.1,2558.15,0.1955,0.002,5.1162,2558.1,2558.15,0.0,0.0,0.0001,0.005116,0.005116,0.051163,-0.061295,-119.8067,1,1,,294.9,379.5,6.6437,16995.249,0.332185,16.995249,16.995581,0.051163,-33.709808,-19.8348
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,binance,kraken,ARBITRUM,ok,0.2802,2558.1,2557.54,-2.1891,0.002,5.1162,2558.1,2557.54,0.0,0.0,-0.00112,0.005116,0.040921,0.051151,-0.098308,-192.1497,1,1,,294.9,96.9,0.989,2529.9609,-0.56963,2.529961,20.23513,0.05115,-23.385872,-92.4357
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,bybit,binance,ARBITRUM,ok,0.2802,2557.94,2558.09,0.5864,0.002,5.1159,2557.94,2558.09,0.0,0.0,0.0003,0.005116,0.005116,0.102324,-0.112256,-219.4259,1,1,30.0,248.3,294.9,0.9928,2539.6089,0.062858,2.539609,2.539672,0.102324,-5.118746,-20.1556
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,bybit,okx,ARBITRUM,ok,0.2802,2557.94,2558.15,0.821,0.00196,5.0136,2557.94,2558.15,0.0,0.0,0.000412,0.005014,0.005014,0.102326,-0.111942,-223.2782,1,1,,248.3,379.5,0.99286,2539.7624,0.122432,2.539762,2.539885,0.102326,-5.059541,-19.9213
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,bybit,kraken,ARBITRUM,ok,0.2802,2557.94,2557.54,-1.5638,0.00196,5.0136,2557.94,2557.54,0.0,0.0,-0.000784,0.005014,0.040102,0.102302,-0.148201,-295.601,1,1,,248.3,96.9,0.989,2529.8883,-0.497034,2.529888,20.23513,0.102301,-23.364353,-92.3533
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,okx,binance,ARBITRUM,ok,0.2802,2558.16,2558.09,-0.2736,0.002,5.1163,2558.16,2558.09,0.0,0.0,-0.00014,0.005116,0.005116,0.005628,-0.016,-31.2731,1,1,30.0,379.5,294.9,4.7183,12070.1663,-0.330281,12.070166,12.069836,0.005628,-24.475911,-20.278
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,okx,bybit,ARBITRUM,ok,0.2802,2558.16,2557.82,-1.3291,0.00196,5.014,2558.16,2557.82,0.0,0.0,-0.000666,0.005014,0.005013,0.005627,-0.016321,-32.5507,1,1,30.0,379.5,248.3,0.76873,1966.5343,-0.261368,1.966534,1.966273,0.005627,-4.199803,-21.3564
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,okx,kraken,ARBITRUM,ok,0.2802,2558.16,2557.54,-2.4236,0.0011,2.814,2558.16,2557.54,0.0,0.0,-0.000682,0.002814,0.022506,0.005627,-0.031629,-112.3994,1,1,,379.5,96.9,0.989,2530.0202,-0.62897,2.53002,20.23513,0.005627,-23.399747,-92.4884
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,kraken,binance,ERC20,ok,0.2802,2558.21,2558.09,-0.4691,0.0021,5.3722,2558.21,2558.09,0.0,0.0,-0.000252,0.042978,0.005372,0.358133,-0.406735,-757.104,1,1,72.0,96.9,294.9,1.956,5003.8588,-0.23472,40.03087,5.003624,0.358133,-45.627347,-91.1843
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,kraken,bybit,ERC20,ok,0.2802,2558.21,2557.82,-1.5245,0.0021,5.3722,2558.21,2557.82,0.0,0.0,-0.000819,0.042978,0.005371,0.358095,-0.407263,-758.088,1,1,72.0,96.9,248.3,1.956,5003.8588,-0.837122,40.03087,5.003022,0.358089,-46.229103,-92.3869
1,2026-09-18T14:03:29.867+00:00,ETH/USDT,kraken,okx,ERC20,ok,0.2802,2558.21,2558.15,-0.2345,0.001,2.5582,2558.21,2558.15,0.0,0.0,-6e-05,0.020466,0.002558,0.358141,-0.381225,-1490.2015,1,1,,96.9,379.5,1.956,5003.8588,-0.11736,40.03087,5.003741,0.358141,-45.510112,-90.95
1,2026-09-18T14:03:29.867+00:00,SOL/USDT,binance,bybit,SOL,ok,0.2694,108.62,108.62,0.0,0.048,5.2138,108.62,108.62,0.0,0.0,0.0,0.005214,0.005214,0.10862,-0.119048,-228.3333,1,1,63.63999999999999,298.3,254.2,11.889,1291.3832,-0.11489,1.291383,1.291268,0.10861,-2.806152,-21.7298
1,2026-09-18T14:03:29.867+00:00,SOL/USDT,binance,okx,SOL,ok,0.2694,108.62,108.61,-0.9206,0.047,5.1051,108.62,108.60999999999999,0.0,0.0,-0.00047,0.005105,0.005105,0.10861,-0.11929,-233.6661,1,1,,298.3,378.5,58.193,6320.9237,-0.58193,6.320924,6.320342,0.10861,-13.331805,-21.0915
1,2026-09-18T14:03:29.867+00:00,SOL/USDT,binance,kraken,SOL,ok,0.2694,108.62,108.6,-1.8413,0.06,6.5172,108.62,108.6,0.0,0.0,-0.0012,0.006517,0.052128,0.1086,-0.168445,-258.4625,1,1,,298.3,106.8,36.991,4017.9624,-0.73982,4.017962,32.137781,0.1086,-37.004163,-92.0968
1,2026-09-18T14:03:29.867+00:00,SOL/USDT,bybit,binance,SOL,ok,0.2694,108.63,108.61,-1.8411,0.048,5.2142,108.63,108.61,0.0,0.0,-0.00096,0.005214,0.005213,0.10861,-0.119998,-230.1342,1,1,0.3182,254.2,298.3,27.24,2959.0812,-0.5448,2.959081,2.958536,0.10861,-6.571028,-22.2063
1,2026-09-18T14:03:29.867+00:00,SOL/USDT,bybit,okx,SOL,ok,0.2694,108.63,108.61,-1.8411,0.0461,5.0078,108.63,108.61,0.0,0.0,-0.000922,0.005008,0.005007,0.10861,-0.119547,-238.7191,1,1,,254.2,378.5,27.24,2959.0812,-0.5448,2.959081,2.958536,0.10861,-6.571028,-22.2063
1,2026-09-18T14:03:29.867+00:00,SOL/USDT,bybit,kraken,SOL,ok,0.2694,108.63,108.6,-2.7617,0.06,6.5178,108.63,108.6,0.0,0.0,-0.0018,0.006518,0.052128,0.1086,-0.169046,-259.3602,1,1,,254.2,106.8,27.24,2959.0812,-0.8172,2.959081,23.666112,0.1086,-27.550993,-93.1066
1,2026-09-18T14:03:29.867+00:00,SOL/USDT,okx,binance,SOL,ok,0.2694,108.62,108.61,-0.9206,0.047,5.1051,108.62,108.60999999999999,0.0,0.0,-0.00047,0.005105,0.005105,0.027152,-0.037832,-74.1063,1,1,0.3182,378.5,298.3,97.323,10571.2243,-0.97323,10.571224,10.570251,0.027152,-22.141858,-20.9454
